Date,Open,High,Low,Close,Adj Close,Volume
1999-10-01,14.000000,14.250000,14.000000,14.125000,9.086963,3162400
1999-10-04,14.125000,14.125000,14.000000,14.000000,9.006545,533400
1999-10-05,14.000000,14.125000,14.000000,14.125000,9.086963,270600
1999-10-06,14.125000,14.875000,14.125000,14.875000,9.569453,205400
1999-10-07,14.875000,14.875000,14.062500,14.125000,9.086963,214200
1999-10-08,14.187500,14.187500,14.062500,14.062500,9.046754,65600
1999-10-11,14.062500,14.125000,14.000000,14.062500,9.046754,77500
1999-10-12,14.062500,14.125000,14.000000,14.125000,9.086963,49200
1999-10-13,14.125000,14.375000,14.000000,14.062500,9.046754,49900
1999-10-14,14.000000,14.062500,13.250000,13.625000,8.765301,430900
1999-10-15,13.125000,13.187500,12.687500,13.062500,8.403429,158200
1999-10-18,13.000000,13.000000,12.500000,12.812500,8.242598,83800
1999-10-19,12.750000,13.250000,12.750000,13.250000,8.524050,58200
1999-10-20,13.375000,13.500000,13.125000,13.125000,8.443635,62600
1999-10-21,13.125000,13.437500,13.000000,13.437500,8.644676,98200
1999-10-22,13.375000,13.562500,13.312500,13.500000,8.684881,191200
1999-10-25,13.437500,13.937500,13.437500,13.937500,8.966335,153100
1999-10-26,13.812500,14.125000,13.812500,14.000000,9.006545,65600
1999-10-27,14.000000,14.187500,14.000000,14.062500,9.046754,100900
1999-10-28,14.187500,14.500000,14.125000,14.125000,9.086963,255300
1999-10-29,14.125000,15.250000,14.125000,15.250000,9.810697,123200
1999-11-01,15.000000,15.000000,14.625000,14.750000,9.489037,41800
1999-11-02,14.750000,14.875000,14.312500,14.750000,9.489037,66600
1999-11-03,14.687500,14.875000,14.687500,14.750000,9.489037,18500
1999-11-04,14.875000,15.125000,14.500000,14.937500,9.609660,72100
1999-11-05,15.000000,15.875000,14.875000,15.750000,10.132366,122900
1999-11-08,15.875000,17.375000,15.812500,16.625000,10.695271,240000
1999-11-09,16.750000,16.750000,16.125000,16.125000,10.373610,42400
1999-11-10,16.000000,16.125000,15.812500,16.062500,10.333401,59900
1999-11-11,16.062500,16.250000,16.062500,16.125000,10.373610,20000
1999-11-12,16.250000,18.500000,16.250000,18.000000,11.579844,248500
1999-11-15,18.187500,18.187500,17.500000,17.687500,11.378805,99200
1999-11-16,17.687500,17.687500,17.375000,17.437500,11.217971,95300
1999-11-17,17.687500,18.250000,17.250000,17.500000,11.258183,107900
1999-11-18,17.500000,17.500000,17.250000,17.250000,11.097348,67500
1999-11-19,17.250000,17.750000,17.187500,17.625000,11.338596,31200
1999-11-22,17.562500,17.875000,17.562500,17.812500,11.459213,36500
1999-11-23,17.812500,19.375000,17.812500,19.125000,12.303585,65500
1999-11-24,19.000000,19.000000,18.375000,18.562500,11.941715,53800
1999-11-26,18.500000,18.500000,18.375000,18.437500,11.861306,2600
1999-11-29,18.375000,18.375000,17.875000,18.125000,11.660261,20200
1999-11-30,18.187500,18.500000,18.187500,18.375000,11.821087,38100
1999-12-01,18.375000,18.625000,18.250000,18.562500,11.941715,43800
1999-12-02,18.562500,19.000000,18.562500,19.000000,12.223170,33200
1999-12-03,19.125000,19.375000,19.062500,19.187500,12.343790,62000
1999-12-06,19.187500,19.187500,18.250000,18.375000,11.821087,38200
1999-12-07,18.500000,19.000000,18.437500,18.625000,11.981925,112500
1999-12-08,18.500000,18.500000,18.000000,18.187500,11.700470,27700
1999-12-09,18.250000,18.375000,18.125000,18.250000,11.740677,15500
1999-12-10,18.125000,18.125000,17.625000,17.625000,11.338596,22400
1999-12-13,17.750000,18.000000,17.437500,17.437500,11.217971,44500
1999-12-14,17.250000,17.250000,17.062500,17.125000,11.016930,19400
1999-12-15,17.125000,17.125000,16.875000,17.125000,11.016930,11100
1999-12-16,17.062500,17.250000,16.812500,16.812500,10.815895,90700
1999-12-17,16.687500,17.250000,16.687500,17.125000,11.016930,37300
1999-12-20,17.000000,17.000000,16.812500,16.937500,10.896313,31300
1999-12-21,16.937500,17.062500,16.875000,17.000000,10.936518,11800
1999-12-22,17.125000,17.375000,17.125000,17.187500,11.057137,6300
1999-12-23,17.187500,17.250000,17.000000,17.125000,11.016930,3700
1999-12-27,17.062500,17.125000,17.062500,17.125000,11.016930,2400
1999-12-28,17.062500,17.625000,17.062500,17.375000,11.177762,65600
1999-12-29,17.437500,17.437500,17.125000,17.250000,11.097348,9600
1999-12-30,17.125000,17.375000,17.125000,17.312500,11.137561,5100
1999-12-31,17.250000,17.375000,17.187500,17.187500,11.057137,13000
2000-01-03,17.437500,17.500000,16.625000,16.625000,10.695271,64600
2000-01-04,16.625000,16.625000,15.625000,15.875000,10.212778,81900
2000-01-05,15.750000,15.750000,15.000000,15.750000,10.132366,38100
2000-01-06,15.750000,16.250000,15.750000,16.000000,10.293197,41200
2000-01-07,15.875000,16.250000,15.750000,15.875000,10.212778,34700
2000-01-10,16.500000,16.500000,16.000000,16.000000,10.293197,94200
2000-01-11,16.125000,16.875000,16.000000,16.437500,10.574648,39700
2000-01-12,16.500000,17.125000,16.500000,17.125000,11.016930,25100
2000-01-13,17.250000,17.500000,16.875000,16.937500,10.896313,62000
2000-01-14,17.000000,17.750000,16.875000,17.500000,11.258183,183100
2000-01-18,17.750000,18.250000,17.750000,18.000000,11.579844,77300
2000-01-19,18.000000,18.375000,17.937500,18.250000,11.740677,34500
2000-01-20,18.250000,18.250000,17.375000,17.500000,11.258183,42200
2000-01-21,17.437500,17.500000,17.250000,17.375000,11.177762,16000
2000-01-24,17.500000,17.500000,17.000000,17.125000,11.016930,10700
2000-01-25,17.125000,17.500000,17.062500,17.250000,11.097348,19200
2000-01-26,17.250000,17.500000,17.250000,17.437500,11.217971,16600
2000-01-27,17.437500,18.000000,17.437500,17.500000,11.258183,33600
2000-01-28,17.625000,17.625000,17.312500,17.375000,11.177762,3900
2000-01-31,17.125000,17.500000,17.125000,17.500000,11.258183,53900
2000-02-01,17.375000,17.750000,17.375000,17.750000,11.419010,15400
2000-02-02,18.000000,18.125000,17.875000,17.937500,11.539633,92700
2000-02-03,18.062500,18.125000,17.937500,18.000000,11.579844,35200
2000-02-04,18.125000,18.562500,18.125000,18.437500,11.861306,51500
2000-02-07,18.437500,18.562500,18.375000,18.500000,11.901502,25200
2000-02-08,18.500000,18.875000,18.500000,18.562500,11.941715,45300
2000-02-09,18.750000,18.750000,18.375000,18.375000,11.821087,9100
2000-02-10,18.500000,18.500000,17.875000,17.875000,11.499427,9700
2000-02-11,17.875000,18.000000,17.875000,17.937500,11.539633,24700
2000-02-14,18.062500,18.062500,17.875000,18.000000,11.579844,7100
2000-02-15,17.875000,18.000000,17.875000,17.875000,11.499427,4900
2000-02-16,17.875000,18.500000,17.875000,18.500000,11.901502,69000
2000-02-17,18.500000,18.687500,18.312500,18.375000,11.821087,28100
2000-02-18,18.375000,18.562500,18.375000,18.500000,11.901502,5000
2000-02-22,18.625000,18.812500,18.562500,18.562500,11.941715,10700
2000-02-23,18.562500,18.937500,18.562500,18.812500,12.102542,5700
2000-02-24,18.875000,19.125000,18.875000,19.000000,12.223170,61800
2000-02-25,19.000000,19.250000,19.000000,19.250000,12.383998,41400
2000-02-28,19.250000,20.125000,19.250000,20.125000,12.946904,35700
2000-02-29,21.750000,21.875000,21.625000,21.875000,14.072724,79900
2000-03-01,22.500000,22.750000,21.750000,21.750000,13.992311,140600
2000-03-02,22.000000,22.250000,22.000000,22.062500,14.193352,26600
2000-03-03,22.125000,22.125000,22.062500,22.125000,14.233551,17300
2000-03-06,22.062500,22.250000,22.062500,22.062500,14.193352,9900
2000-03-07,22.125000,22.125000,21.750000,22.000000,14.153145,26200
2000-03-08,22.000000,22.187500,22.000000,22.000000,14.153145,31700
2000-03-09,21.875000,22.000000,21.750000,22.000000,14.153145,7800
2000-03-10,22.000000,22.125000,21.937500,22.125000,14.233551,5200
2000-03-13,22.375000,23.125000,22.250000,22.875000,14.716055,27900
2000-03-14,22.875000,23.000000,22.875000,22.875000,14.716055,1300
2000-03-15,23.125000,24.125000,22.625000,24.125000,15.520205,29000
2000-03-16,24.125000,25.000000,24.125000,24.375000,15.681033,19500
2000-03-17,23.375000,24.750000,23.375000,24.750000,15.922283,73300
2000-03-20,24.000000,24.250000,23.875000,24.000000,15.439784,134700
2000-03-21,23.750000,24.000000,23.750000,24.000000,15.439784,172200
2000-03-22,23.750000,23.750000,22.625000,22.625000,14.555220,35900
2000-03-23,22.625000,22.625000,22.500000,22.500000,14.474805,1300
2000-03-24,22.500000,22.500000,22.375000,22.437500,14.434597,5600
2000-03-27,22.187500,22.187500,22.000000,22.062500,14.193352,19600
2000-03-28,22.062500,22.062500,19.750000,20.000000,12.866493,42600
2000-03-29,19.750000,19.875000,19.750000,19.750000,12.705656,77000
